Name,Cells,Common (1),Uncommon (2),Rare (3),Epic (4),Legendary (5),Unreal (6),Common (1),Uncommon (2),Rare (3),Epic (4),Legendary (5),Unreal (6),set,Common ID,Uncommon ID,Rare,Epic ID,Legendary ID,Unreal ID,Legacy ID,Legacy
Rollerfury B8,2,19 300,50715,133140,349545,917595,2408700,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,5a0b08b3d1d9ee5894f36f34,631f77568238ed283a232261,631f77578238ed283a232270,631f77588238ed283a23227d,631f775a8238ed283a23228a,631f775b8238ed283a232297,61bb6124698d2f88e80c7736,
Dragonroller 16T,2,16 000,42000,110250,289485,759990,1995000,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,5a0b08b1d1d9ee5894f36f33,631f775c8238ed283a2322a4,631f775d8238ed283a2322b1,631f775e8238ed283a2322be,631f775f8238ed283a2322cb,631f77618238ed283a2322d8,61bb6124698d2f88e80c7737,
RollerMiner S9,2,14 500,38115,100065,262710,689640,1810305,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,5a0b08b0d1d9ee5894f36f32,631f77628238ed283a2322e5,631f77638238ed283a2322f2,631f77648238ed283a2322ff,631f77658238ed283a23230c,631f77668238ed283a232319,61bb6124698d2f88e80c7734,
Rolleron Miner 761,1,6 500,17115,44940,118020,309855,813435,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,5a0b08afd1d9ee5894f36f31,631f77678238ed283a232326,631f77688238ed283a232333,631f77698238ed283a232340,631f776a8238ed283a23234d,631f776b8238ed283a23235a,61bb6124698d2f88e80c7735,
RollerMiner R4,1,6 000,15750,41370,108675,285285,748965,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,5a0b08abd1d9ee5894f36f30,631f776c8238ed283a232367,631f776e8238ed283a232374,631f776f8238ed283a232381,631f77708238ed283a23238e,631f77718238ed283a23239b,61bb6125698d2f88e80c7738,
RollerMiner S5+,1,4 000,10500,27615,72555,190470,500010,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,5a0b08a9d1d9ee5894f36f2f,631f77728238ed283a2323a8,631f77738238ed283a2323b5,631f77748238ed283a2323c2,631f77758238ed283a2323cf,631f77768238ed283a2323dc,61bb6125698d2f88e80c773f,
Rolleron 741,1,2 730,7245,19110,50190,131775,345975,0.50%,0.53%,0.55%,0.58%,0.61%,0.64%,,5a0b08a7d1d9ee5894f36f2e,631f77778238ed283a2323e9,631f77788238ed283a2323f6,631f77798238ed283a232403,631f777a8238ed283a232410,631f777b8238ed283a23241d,61bb6125698d2f88e80c7744,
RollerMiner S7,1,1 320,3465,9135,24045,63210,166005,0.25%,0.26%,0.28%,0.29%,0.30%,0.32%,,5a0b022dd1d9ee5894f36f2d,631f777d8238ed283a23242a,631f777e8238ed283a232437,631f777f8238ed283a232444,631f77808238ed283a232451,631f77818238ed283a23245e,61bb6125698d2f88e80c7745,
RollerMiner S4,1,1 160,3045,8085,21315,55965,147000,0.25%,0.26%,0.28%,0.29%,0.30%,0.32%,,59f05bdda8fa9b726b0742ca,631f77828238ed283a23246b,631f77838238ed283a232478,631f77848238ed283a232485,631f77858238ed283a232492,631f77878238ed283a23249f,61bb6125698d2f88e80c7746,
Scarabey,1,8 000,21000,55125,144795,380100,997815,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,5e2ee460041b386e78b97c28,631f77938238ed283a23252e,631f77948238ed283a23253b,631f77958238ed283a232548,631f77968238ed283a232555,631f77978238ed283a232562,61bb6123698d2f88e80c7733,
Gold Digger,1,15 000,39375,103425,271530,712845,1871310,1.00%,1.05%,1.10%,1.16%,1.22%,1.28%,,5e2ee460041b386e78b97c29,631f778d8238ed283a2324ed,631f778e8238ed283a2324fa,631f778f8238ed283a232507,631f77918238ed283a232514,631f77928238ed283a232521,61bb6123698d2f88e80c7731,
